cohFam;yearsProg;yearsProgLargeProj
1;13;4
1;5;4
1;8;2
1;6;4
0;6;4
1;4;2
1;5;3
1;22;0
1;5;3
1;10;7
1;5;4
1;13;11
1;12;4
1;5;3
1;5;2
0;8;0
1;6;6
1;10;10
1;29;5
1;6;2
1;10;5
1;4;2
1;6;1
1;8;7
1;1;1
1;11;7
0;5;3
1;10;7
1;24;3
1;12;5
1;11;3
1;5;5
1;10;6
1;4;2
1;5;3
0;7;6
1;9;1
1;11;6
1;15;0
1;9;2
1;8;5
1;20;8
1;9;2
1;8;0
1;14;6
1;15;8
1;7;6
0;16;0
1;11;7
0;5;0
1;5;0
0;7;6
1;5;3
1;25;12
1;10;7
1;6;3
1;12;3
1;5;3
1;13;10
1;8;6
1;8;6
1;5;1
1;10;0
1;7;0
1;20;13
1;15;15
1;15;5
1;18;10
1;10;4
1;14;7
0;3;1
1;15;3
1;8;4
1;4;4
1;5;1.5
0;7;4
1;7;2
1;15;15
1;15;0
1;6;0