"189.105.24.243","189.105.24.243","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Oi Velox","Oi Velox"
"177.19.140.210","177.19.140.210","BR","Brazil","30","Pernambuco","Recife","","-8.050000","-34.900000","Global Village Telecom","Global Village Telecom"
"200.188.162.210","200.188.162.210","BR","Brazil","23","Rio Grande do Sul","Porto Alegre","","-30.033300","-51.200000","Associação Antônio Vieira - Unisinos","Associação Antônio Vieira - Unisinos"
"200.223.146.2","200.223.146.2","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Oi Internet","Oi Internet"
"200.128.60.107","200.128.60.107","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Associação Rede Nacional de Ensino e Pesquisa","Universidade Federal da Bahia"
"189.26.255.23","189.26.255.23","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"187.127.190.79","187.127.190.79","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Oi Velox","Oi Velox"
"177.156.205.59","177.156.205.59","BR","Brazil","18","Parana","Cascavel","","-24.950000","-53.466700","Global Village Telecom","Global Village Telecom"
"177.99.39.231","177.99.39.231","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"189.38.212.37","189.38.212.37","BR","Brazil","27","Sao Paulo","São Paulo","","-23.473300","-46.665800","Ajato Telecomunicacao Ltda","Ajato Telecomunicacao Ltda"
"50.72.184.200","50.72.184.200","CA","Canada","MB","Manitoba","Winnipeg","","49.883300","-97.166700","Shaw Communications","Shaw Communications"
"201.3.168.169","201.3.168.169","BR","Brazil","23","Rio Grande do Sul","Garibaldi","","-29.250000","-51.533300","Brasil Telecom S/A - Filial Distrito Federal","Brasil Telecom S/A - Filial Distrito Federal"
"213.160.8.90","213.160.8.90","DE","Germany","","","","","51.000000","9.000000","QSC AG","QSC AG"
"158.42.76.166","158.42.76.166","ES","Spain","60","Comunidad Valenciana","Valencia","","39.466700","-0.366700","Universitat Politecnica de Valencia","Universitat Politecnica de Valencia"
"143.54.10.48","143.54.10.48","BR","Brazil","23","Rio Grande do Sul","Porto Alegre","","-30.033300","-51.200000","Universidade Federal do Rio Grande do Sul","Universidade Federal do Rio Grande do Sul"
"177.97.108.4","177.97.108.4","BR","Brazil","23","Rio Grande do Sul","Santa Maria","","-29.683300","-53.800000","Global Village Telecom","Global Village Telecom"
"164.85.131.129","164.85.131.129","BR","Brazil","28","Sergipe","Aracaju","","-10.916700","-37.066700","Petrobras","Petróleo Brasileiro S/A - Petrobras"
"177.180.116.95","177.180.116.95","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Virtua","Virtua"
"177.158.199.206","177.158.199.206","BR","Brazil","05","Bahia","Camaçari","","-12.483300","-38.216700","Global Village Telecom","Global Village Telecom"
"200.128.57.2","200.128.57.2","BR","Brazil","","","","","-10.000000","-55.000000","Associação Rede Nacional de Ensino e Pesquisa","Universidade Federal da Bahia"
"200.128.57.2","200.128.57.2","BR","Brazil","","","","","-10.000000","-55.000000","Associação Rede Nacional de Ensino e Pesquisa","Universidade Federal da Bahia"
"177.98.233.58","177.98.233.58","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"177.183.176.52","177.183.176.52","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Virtua","Virtua"
"187.115.169.12","187.115.169.12","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"177.159.61.147","177.159.61.147","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"143.54.13.241","143.54.13.241","BR","Brazil","23","Rio Grande do Sul","Porto Alegre","","-30.033300","-51.200000","Universidade Federal do Rio Grande do Sul","Universidade Federal do Rio Grande do Sul"
"189.43.158.52","189.43.158.52","BR","Brazil","","","","","-10.000000","-55.000000","Embratel","Embratel"
"177.134.180.63","177.134.180.63","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"189.48.75.1","189.48.75.1","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Oi Velox","Oi Velox"
"189.61.61.93","189.61.61.93","BR","Brazil","07","Distrito Federal","Brasília","","-15.783300","-47.916700","Virtua","Virtua"
"189.32.110.37","189.32.110.37","BR","Brazil","23","Rio Grande do Sul","Porto Alegre","","-30.033300","-51.200000","Virtua","Virtua"
"200.142.128.16","200.142.128.16","BR","Brazil","","","","","-10.000000","-55.000000","Vivo","Vivo"
"189.105.90.2","189.105.90.2","BR","Brazil","05","Bahia","Camaçari","","-12.483300","-38.216700","Oi Velox","Oi Velox"
"188.81.94.41","188.81.94.41","PT","Portugal","04","Braga","Braga","","41.550300","-8.420100","PT Comunicacoes","PT Comunicacoes"
"177.98.226.40","177.98.226.40","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"15.203.233.75","15.203.233.75","US","United States","CA","California","Palo Alto","94304","37.376200","-122.182600","Hewlett-Packard Company","Hewlett-Packard Company"
"143.54.10.65","143.54.10.65","BR","Brazil","23","Rio Grande do Sul","Porto Alegre","","-30.033300","-51.200000","Universidade Federal do Rio Grande do Sul","Universidade Federal do Rio Grande do Sul"
"177.42.118.60","177.42.118.60","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"129.97.124.123","129.97.124.123","CA","Canada","ON","Ontario","Waterloo","n2l3g1","43.466500","-80.502300","University of Waterloo","University of Waterloo"
"177.42.129.228","177.42.129.228","BR","Brazil","17","Paraiba","Campina Grande","","-7.216700","-35.883300","Global Village Telecom","Global Village Telecom"
"187.114.167.36","187.114.167.36","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"200.187.7.132","200.187.7.132","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Cia. de Processamento de Dados do Estado da Bahia","Cia. de Processamento de Dados do Estado da Bahia"
"187.105.103.242","187.105.103.242","BR","Brazil","21","Rio de Janeiro","Rio De Janeiro","","-22.900000","-43.233300","Virtua","Virtua"
"200.128.57.2","200.128.57.2","BR","Brazil","","","","","-10.000000","-55.000000","Associação Rede Nacional de Ensino e Pesquisa","Universidade Federal da Bahia"
"139.82.2.167","139.82.2.167","BR","Brazil","21","Rio de Janeiro","Rio De Janeiro","","-22.900000","-43.233300","Pontificia Universidade Catolica do Rio de Janeiro","Pontificia Universidade Catolica do Rio de Janeiro"
"177.99.45.20","177.99.45.20","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"177.99.61.177","177.99.61.177","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"200.188.163.11","200.188.163.11","BR","Brazil","23","Rio Grande do Sul","Porto Alegre","","-30.033300","-51.200000","Associação Antônio Vieira - Unisinos","Associação Antônio Vieira - Unisinos"
"186.214.176.58","186.214.176.58","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"189.104.169.241","189.104.169.241","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Oi Velox","Oi Velox"
"200.187.0.136","200.187.0.136","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Cia. de Processamento de Dados do Estado da Bahia","Cia. de Processamento de Dados do Estado da Bahia"
"177.16.230.69","177.16.230.69","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"200.223.181.10","200.223.181.10","BR","Brazil","","","","","-10.000000","-55.000000","Oi Fixo","Oi Fixo"
"200.128.35.125","200.128.35.125","BR","Brazil","","","","","-10.000000","-55.000000","Associação Rede Nacional de Ensino e Pesquisa","Universidade Federal da Bahia"
"189.105.62.120","189.105.62.120","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Oi Velox","Oi Velox"
"186.241.10.20","186.241.10.20","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Oi Velox","Oi Velox"
"177.158.213.145","177.158.213.145","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Global Village Telecom","Global Village Telecom"
"68.32.3.237","68.32.3.237","US","United States","PA","Pennsylvania","Philadelphia","19151","39.976700","-75.258600","Comcast Cable","Comcast Cable"
"91.198.246.131","91.198.246.131","PL","Poland","72","Dolnoslaskie","Wroclaw","","51.100000","17.033300","Tieto Poland Sp. z o.o.","Tieto Poland Sp. z o.o."
"200.198.222.50","200.198.222.50","BR","Brazil","15","Minas Gerais","Belo Horizonte","","-19.916700","-43.933300","Servico Federal De Processamento De Dados - Serpro","Servico Federal De Processamento De Dados - Serpro"
"200.128.15.2","200.128.15.2","BR","Brazil","","","","","-10.000000","-55.000000","Associação Rede Nacional de Ensino e Pesquisa","Universidade Federal da Bahia"
"2.181.20.77","2.181.20.77","IR","Iran, Islamic Republic of","","","","","32.000000","53.000000","Information Technology Company (ITC)","Telecommunication Company of Mazandaran for ADSL u"
"132.231.64.81","132.231.64.81","DE","Germany","02","Bayern","Passau","","48.583300","13.483300","University of Passau campus LAN","University of Passau campus LAN"
"141.44.32.175","141.44.32.175","DE","Germany","14","Sachsen-Anhalt","Magdeburg","","52.166700","11.666700","Verein zur Foerderung eines Deutschen Forschungsne","Otto-von-Guericke-Universitaet"
"129.128.4.50","129.128.4.50","CA","Canada","AB","Alberta","Edmonton","t6g2h1","53.550000","-113.500000","University of Alberta","University of Alberta"
"96.29.152.148","96.29.152.148","US","United States","KY","Kentucky","Lexington","40503","38.004700","-84.533400","Insight Communications Company","Insight Communications Company"
"75.142.99.112","75.142.99.112","US","United States","CA","California","Long Beach","90815","33.793400","-118.121200","Charter Communications","Charter Communications"
"114.167.245.209","114.167.245.209","JP","Japan","40","Tokyo","Tokyo","","35.685000","139.751400","Open Computer Network","Open Computer Network"
"189.104.71.35","189.104.71.35","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Oi Velox","Oi Velox"
"70.161.176.232","70.161.176.232","US","United States","VA","Virginia","Williamsburg","23185","37.243800","-76.727500","Cox Communications","Cox Communications"
"70.81.130.7","70.81.130.7","CA","Canada","QC","Quebec","Montréal","","45.500000","-73.583300","Videotron Ltee","Videotron Ltee"
"133.1.244.250","133.1.244.250","JP","Japan","32","Osaka","Minoh","","34.833300","135.466700","Osaka University","Osaka University"
"186.215.248.2","186.215.248.2","BR","Brazil","17","Paraiba","Santa Rita","","-7.133300","-34.966700","Global Village Telecom","Global Village Telecom"
"200.223.24.114","200.223.24.114","BR","Brazil","","","","","-10.000000","-55.000000","Oi Internet","Oi Internet"
"200.89.69.135","200.89.69.135","CL","Chile","12","Region Metropolitana","Santiago","","-33.450000","-70.666700","Universidad de Chile","Universidad de Chile"
"67.193.194.243","67.193.194.243","CA","Canada","ON","Ontario","Kingston","","44.220200","-76.584900","Cogeco Cable","Cogeco Cable"
"37.24.154.132","37.24.154.132","DE","Germany","07","Nordrhein-Westfalen","Bochum","","51.483300","7.216700","Unitymedia NRW GmbH","Unitymedia NRW GmbH"
"187.1.99.110","187.1.99.110","BR","Brazil","05","Bahia","Salvador","","-12.983300","-38.516700","Empresa Editora A Tarde S.A.","Editora A Tarde S.A."
"201.80.13.250","201.80.13.250","BR","Brazil","15","Minas Gerais","Belo Horizonte","","-19.916700","-43.933300","Virtua","Virtua"
"200.128.57.2","200.128.57.2","BR","Brazil","","","","","-10.000000","-55.000000","Associação Rede Nacional de Ensino e Pesquisa","Universidade Federal da Bahia"
